,matched_merk,matched_handelsbenaming,symptoom,count_sleuteltijd_incident_merk,average_sleuteltijd_incident_merk,suggestie
46924,FORD,MONDEO,Ruitenwisser / motor,39.0,17.94871794871795,19.253190944824365
46940,MITSUBISHI,OUTLANDER,Elektronica,444.0,27.37837837837838,30.03915854271202
46957,AUDI,TT,Lekke band,249.0,18.91164658634538,20.501212190756466
46974,PEUGEOT,108,Carrosserie,56.0,20.160714285714285,22.34433078283403
46980,RENAULT,ESPACE,Raammechaniek,154.0,24.694805194805195,27.167736767921813
47023,FIAT,DUCATO,Koppeling,46.0,25.91304347826087,28.45269425877313
47024,PEUGEOT,XXX,Afgeslagen tijdens rijden,35.0,33.34285714285714,36.22631620004068
47026,PEUGEOT,XXX,Remmen,27.0,28.48148148148148,31.66954013036452
47027,PEUGEOT,XXX,Controlelampjes / dashboardmeldingen,85.0,27.305882352941175,29.417333723623507
47028,PEUGEOT,XXX,Start niet,100.0,22.66,25.01769725869043
47030,PEUGEOT,XXX,Lekkage,28.0,28.964285714285715,31.46044347601244
47063,OPEL,ASTRA,Carrosserie onderzijde,70.0,20.685714285714287,22.91431438108653
47071,TOYOTA,COROLLA,Lekkage,134.0,24.30597014925373,26.703376709386216
47072,TOYOTA,COROLLA,Ruitenwisser / motor,35.0,17.857142857142858,20.281052124102697
47102,SEAT,IBIZA,Verlichting,811.0,19.08138101109741,20.954262249941184
47110,SEAT,IBIZA,Carrosserie,1040.0,20.00673076923077,22.072918165383186
47124,FORD,C-MAX,Anders,234.0,23.371794871794872,25.655906546810325
47135,SEAT,ALHAMBRA,Koppeling,82.0,20.390243902439025,22.276267953416955
47147,RENAULT,ESPACE,Versnellingsbak,122.0,24.9672131147541,27.221377395545563
47148,PEUGEOT,107,Ruitenwisser / motor,124.0,13.919354838709678,15.580084560871237
47150,SEAT,IBIZA,Vloeistoffen,53.0,20.39622641509434,22.91916076825592
47154,SAAB,9-3,Versnellingsbak,207.0,21.3768115942029,23.71668203254226
47164,BMW,X1,Multiriem / V-snaar,36.0,18.13888888888889,19.66487217844353
47169,SKODA,CITIGO,Sleutel in voertuig,26.0,18.615384615384617,20.344007900411885
47184,PEUGEOT,308,Verlichting,537.0,20.391061452513966,22.535975705852145
47187,VOLVO,S60,Sloten,167.0,18.688622754491018,20.758975277617598
47195,PEUGEOT,3008,Koelprobleem,257.0,28.085603112840467,30.758252946733045
47239,CHEVROLET,KALOS,Anders,188.0,23.49468085106383,25.76225910212846
47244,FORD,KUGA,Stottert / verliest vermogen,179.0,27.424581005586592,29.96648152265137
47252,MITSUBISHI,GRANDIS,Carrosserie,50.0,23.28,25.646870835305638
47262,JEEP,COMPASS,Accu,343.0,15.833819241982507,17.504966179063544
47282,HYUNDAI,TUCSON,Ruitenwisser / motor,55.0,28.418181818181818,30.78279787388919
47303,FORD,MONDEO,Sleutel in voertuig,244.0,17.672131147540984,20.009226735290465
47356,FORD,FUSION,Afgeslagen tijdens rijden,340.0,25.63235294117647,28.015382601459937
47399,VOLVO,C30,Elektronica,77.0,24.2987012987013,26.61074904132756
47416,KIA,PICANTO,Stuurinrichting,67.0,21.91044776119403,23.97801077715414
47681,SUZUKI,SX 4,Stottert / verliest vermogen,96.0,28.28125,31.073931489414033
47684,SUZUKI,SX 4,Bijgeluiden,66.0,19.924242424242426,22.123801741199163
47724,CITROEN,XSARA,Sleutel in voertuig,60.0,15.0,16.849324200890692
47743,TOYOTA,RAV4,Afgeslagen tijdens rijden,126.0,25.658730158730158,28.389433103290145
47836,PEUGEOT,807,Start niet,196.0,22.25,24.629546256036093
47842,FORD,MUSTANG,Lekke band - geen reserve,29.0,17.551724137931036,19.080687130456464
47843,NISSAN,MICRA,Geen brandstof,51.0,12.03921568627451,12.957019971447744
48074,VOLKSWAGEN,PASSAT,Verkeerde brandstof,391.0,51.36317135549872,54.458972758523835
48083,HYUNDAI,SANTA FE,Anders,107.0,27.457943925233646,30.19350226019658
48106,KIA,SPORTAGE,Remmen,72.0,28.48611111111111,31.39112059571418
48132,LAND,ROVER RANGE ROVER LP,Sleutel in voertuig,30.0,26.066666666666666,29.11920659269548
48142,MITSUBISHI,SPACE STAR,Sloten,109.0,19.10091743119266,21.574691955589238
48160,NISSAN,JUKE,Bijgeluiden,52.0,20.442307692307693,22.63830943241036
48171,SUZUKI,LIANA,Koelprobleem,58.0,26.137931034482758,28.80844965292938
48172,SUZUKI,LIANA,Anders,62.0,25.06451612903226,27.633161219182686
48174,TOYOTA,COROLLA,Koelprobleem,143.0,26.797202797202797,29.42575026577617
